,Energy,dG/de1,dG/dT,dH/de1,alpha
0,1e-05,1.741427364390112,0.0,-0.4389242532031004,0.2520485563615924
1,0.006090921843687374,0.9845958671185807,0.004183188799047286,0.12813412406151933,-0.13013879942082612
2,0.012171843687374749,0.9497524861915141,0.007650104347373474,0.21591456644325777,-0.22733772175640232
3,0.018252765531062125,0.935523492275438,0.010985303588507283,0.27813589715443654,-0.29730509116124626
4,0.0243336873747495,0.9288654146060611,0.014287654942160805,0.3285203453908265,-0.3536791662440726
5,0.03041460921843687,0.9261387313417424,0.017580143144709244,0.3717901953576119,-0.4014411478278003
6,0.036495531062124255,0.9257891705629759,0.020898651154649627,0.41022069503026726,-0.4431037951986525
7,0.04257645290581163,0.9269967677793661,0.02426651158413216,0.44509388125160715,-0.48014609837080213
8,0.048657374749499,0.929266064066908,0.027656883011142906,0.4772061727023472,-0.5135301838247135
9,0.054738296593186374,0.9322730176435365,0.03107818551615622,0.5070872228440484,-0.5439256668886432
10,0.06081921843687375,0.9357982350033497,0.03458379427792033,0.5351071630203483,-0.5718189487912776
11,0.06690014028056111,0.9396845504070552,0.03810716673114699,0.5615351027169097,-0.5975783069687187
12,0.0729810621242485,0.9438087996855878,0.04173370294287104,0.5865732215484242,-0.621495817525573
13,0.07906198396793587,0.948090562559401,0.04539440941663504,0.6103765839602903,-0.6437956541963238
14,0.08514290581162325,0.95246628075943,0.049115444778030204,0.6330675583361965,-0.6646613860507826
15,0.09122382765531062,0.9568709981880624,0.052897610901138765,0.6547448630475057,-0.684256147680654
16,0.09730474949899799,0.9612799927640018,0.05674138681311195,0.6754882664197117,-0.7026966872341291
17,0.10338567134268536,0.9656430627768586,0.06064729330703335,0.6953648497502799,-0.7201054681122534
18,0.10946659318637274,0.9699506749332896,0.06461531272060622,0.7144302226070535,-0.7365634573698193
19,0.11554751503006011,0.9741660906037519,0.06864546190093808,0.7327323131803021,-0.7521636405206651
