,Energy,dG/de1,dH/de1,alpha
0,1e-05,0.18914890329598671,-0.04016082283601232,0.21232384717117436
1,0.006090921843687374,0.10808660868396491,0.011853761224201844,-0.10966910118219296
2,0.012171843687374749,0.10537852796558998,0.020195980372534946,-0.19165176020611796
3,0.018252765531062125,0.10491476188264799,0.026305402834330256,-0.2507311875115731
4,0.0243336873747495,0.10529004686697895,0.031417266415820676,-0.2983878092058648
5,0.03041460921843687,0.10611471647030687,0.035953036092827,-0.3388129119949862
6,0.036495531062124255,0.10722329290346728,0.04011437480986207,-0.37411996706701484
7,0.04257645290581163,0.10852884324433247,0.044014140580611656,-0.40555247125892624
8,0.048657374749499,0.10997890360253662,0.047721943217779214,-0.43391906678981046
9,0.054738296593186374,0.11153912435651787,0.05128372111843337,-0.4597823536296802
10,0.06081921843687375,0.11318623273618626,0.054731299431331384,-0.48355085338778564
11,0.06690014028056111,0.11490348637605824,0.05808759312091335,-0.5055337740649853
12,0.0729810621242485,0.11667756437388566,0.0613696339082349,-0.5259763026212984
13,0.07906198396793587,0.11849986439387933,0.06459030732653288,-0.5450665083619206
14,0.08514290581162325,0.12036350580114653,0.0677596410629887,-0.5629583536303349
15,0.09122382765531062,0.12226110037145047,0.0708856067824677,-0.579788719119204
16,0.09730474949899799,0.12419010905348643,0.0739745058929903,-0.5956553743030439
17,0.10338567134268536,0.12614454086788987,0.07703156125078701,-0.6106610775290032
18,0.10946659318637274,0.12812347268247226,0.08006097026755415,-0.6248735582274517
19,0.11554751503006011,0.13012232828892478,0.08306629706664086,-0.6383708173604127
20,0.12162843687374748,0.13214038223142788,0.08605046815435498,-0.6512049284347309
21,0.12770935871743488,0.13417534914347967,0.08901597660812881,-0.6634301842802739
22,0.13379028056112224,0.13622488426715915,0.09196495035357156,-0.6750965570520386
23,0.13987120240480963,0.1382891509938133,0.09489917175952181,-0.6862372867107077
24,0.14595212424849702,0.14036566511303067,0.09782020593036891,-0.6968955396007873
25,0.15203304609218438,0.14245346033636927,0.10072938700598895,-0.7071038272298964
26,0.15811396793587176,0.14455268697329018,0.10362785437792786,-0.7168863931050674
27,0.16419488977955912,0.14666161138964826,0.10651661670475898,-0.726274692439914
28,0.1702758116232465,0.14877909539088022,0.1093965506441861,-0.735295172730912
29,0.17635673346693387,0.15090554825380914,0.1122684097474159,-0.7439647583970262
30,0.18243765531062126,0.15304030537839397,0.11513286309443926,-0.7523041907801471
31,0.18851857715430861,0.15518184100239343,0.11799050421961313,-0.7603370565618777
32,0.194599498997996,0.15733005088823807,0.1208418304948987,-0.7680785063798183
33,0.2006804208416834,0.15948508897658256,0.1236872683750502,-0.7755412695240205
34,0.20676134268537075,0.1616463561278227,0.12652719525129758,-0.7827407822991416
35,0.21284226452905813,0.16381267670143088,0.1293619456660799,-0.7896943525430468
36,0.2189231863727455,0.16598384859423052,0.13219181277467767,-0.7964137106968646
37,0.22500410821643288,0.16816011326276178,0.13501705486063023,-0.80290773026334
38,0.23108503006012024,0.17034126365456223,0.13783790222957146,-0.8091868010859373
39,0.23716595190380763,0.17252664181188704,0.14065456108641333,-0.8152628464175107
40,0.24324687374749498,0.17471549607688128,0.14346720872828483,-0.8211475910823272
41,0.24932779559118237,0.1769079217364567,0.14627597463460096,-0.8268480755345214
42,0.25540871743486976,0.17910398876330363,0.14908096373137725,-0.8323709860442943
43,0.2614896392785571,0.18130348589593642,0.15188226488043435,-0.8377239087813838
44,0.2675705611222445,0.1835059249395132,0.15467995299216816,-0.8429153066482916
45,0.2736514829659319,0.18571062947129627,0.15747408672761568,-0.8479540841357986
46,0.27973240480961925,0.18791742694767632,0.16026467624092283,-0.8528462678745963
47,0.2858133266533066,0.19012634616162077,0.16305169976408446,-0.8575965564787063
48,0.291894248496994,0.19233724248360376,0.16583512357893504,-0.8622101546094072
49,0.2979751703406814,0.1945497966536998,0.1686149034259536,-0.8666927764827709
50,0.30405609218436874,0.1967635167213293,0.17139098562711258,-0.8710506321649499
51,0.3101370140280561,0.19897780998416711,0.1741633142634868,-0.8752901355047841
52,0.3162179358717435,0.20119259345414908,0.1769318855136769,-0.8794155017142761
53,0.3222988577154309,0.2034080404217683,0.1796967261319718,-0.8834298081795051
54,0.32837977955911823,0.2056242316271117,0.18245786350331586,-0.887336390558255
55,0.3344607014028056,0.2078411525687582,0.18521532600937485,-0.8911388515712823
56,0.340541623246493,0.21005869445173866,0.18796914366327502,-0.894841054562782
57,0.34662254509018037,0.21227665503972595,0.19071934869003399,-0.898447116826588
58,0.3527034669338677,0.2144947887021868,0.19346596136980077,-0.9019611270762232
59,0.35878438877755514,0.2167130408470469,0.1962089208630113,-0.9053858507827081
60,0.3648653106212425,0.21893138316258481,0.1989481349680229,-0.9087236927575534
61,0.37094623246492986,0.22114972085397053,0.20168350835639565,-0.9119772232928623
62,0.3770271543086172,0.22336789305135865,0.204414942987112,-0.9151491747299204
63,0.38310807615230463,0.22558567327043058,0.2071423384623801,-0.9182424373823566
64,0.389188997995992,0.22780276983464642,0.20986559235644756,-0.9212600553925714
